,code,title,pointsR1,pointsR2
111,CK101,Arts-3years,300.0,
112,CK102,SocialScience,434.0,431.0
113,CK104,ArtswithMusic-3or4years(BMusorChinese/Eu,339.0,
114,CK105,FilmandScreenMedia-3yearsor4years(Intern,421.0,420.0
115,CK107,GeographicalandArchaeologicalSciences-3or4,312.0,
116,CK108,ArtsInternational-4years,440.0,440.0
117,CK109,English-3yearsor4years(InternationalPathwa,367.0,357.0
118,CK110,WorldLanguages,488.0,
119,CK111,EarlyYearsandChildhoodStudies,409.0,403.0
120,CK112,TheatreandPerformativePractices-3or4years,371.0,
121,CK113,Criminology-3yearsor4years(InternationalPa,464.0,463.0
122,CK114,SocialScience(YouthandCommunityWork),,
123,CK115,SocialWork-MatureApplicantsonly,,
124,CK118,DigitalHumanitiesandIT-3or4years(WorkExp,347.0,339.0
125,CK120,AppliedPsychology,544.0,543.0
126,CK121,PsychologyandComputing-3or4years(WorkExpe,499.0,488.0
127,CK122,GovernmentandPoliticalScience,399.0,
128,CK123,Anthropology,308.0,
129,CK124,Education-Gaeilge,473.0,
130,CK125,SportsStudiesandPhysicalEducation,564.0,555.0
131,CK201,Commerce,500.0,499.0
132,CK202,Accounting,553.0,543.0
133,CK203,BusinessInformationSystems,455.0,452.0
134,CK204,Finance,566.0,566.0
135,CK205,Commerce(International)withFrench,465.0,
136,CK206,Commerce(International)withGerman,466.0,455.0
137,CK207,Commerce(International)withItalian,423.0,418.0
138,CK208,Commerce(International)withHispanicStudies,488.0,486.0
139,CK209,Commerce(International)withIrish,507.0,
140,CK211,Commerce(International)withChineseStudies,385.0,
141,CK212,Economics(throughTransformationalLearning)3or,445.0,444.0
142,CK213,FoodMarketingandEntrepreneurship,466.0,
143,CK214,InternationalDevelopment,332.0,
144,CK301,Law(Pathways)-3or4years,533.0,532.0
145,CK302,LawandFrench,545.0,
146,CK304,LawandIrish,588.0,
147,CK307,LawandBusiness,589.0,589.0
148,CK401,ComputerScience,503.0,495.0
149,CK402,BiologicalandChemicalSciences,555.0,555.0
150,CK404,BiologicalEarthandEnvironmentalSciences,500.0,495.0
151,CK405,Genetics,543.0,
152,CK406,ChemicalSciences,532.0,
153,CK407,MathematicalSciences,566.0,
154,CK408,PhysicsandAstrophysics,566.0,
155,CK409,IndustrialPhysics-OfferedjointlybyUCCandCI,465.0,
156,CK411,DataScienceandAnalytics,531.0,
157,CK412,AgriculturalScience,506.0,
158,CK504,NutritionalSciences,555.0,554.0
159,CK505,FoodScience,463.0,
160,CK600,Engineering,510.0,509.0
161,CK606,Architecture-OfferedjointlybyUCCandCIT,543.0,
162,CK701,Medicine(UndergraduateEntry-HPATrequired),738.0,737.0
163,CK702,Dentistry,625.0,625.0
