code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info,points_r1_2021-2020,points_r1_2020-2019,points_r1_2021-2019,2021vs2020,2020vs2019,2021vs2019
CK207,Commerce (International) with Italian,423.0,,388.0,,425.0,,35.0,-37.0,-2.0,Increase,Decrease,Decrease
CK208,Commerce (International) with Hispanic Studies,488.0,,402.0,,455.0,,86.0,-53.0,33.0,Increase,Decrease,Increase
CK209,Commerce (International) with Irish,507.0,,484.0,,528.0,,23.0,-44.0,-21.0,Increase,Decrease,Decrease
CK211,Commerce (International) with Chinese Studies,385.0,,397.0,,420.0,,-12.0,-23.0,-35.0,Decrease,Decrease,Decrease
CK212,Economics (through Transformational Learning) 3 or,445.0,,444.0,,429.0,,1.0,15.0,16.0,Increase,Increase,Increase
CK213,Food Marketing and Entrepreneurship,466.0,,462.0,,,,4.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CK214,International Development,332.0,,346.0,,,,-14.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
CK301,Law (Pathways) -  3 or 4 years,533.0,,507.0,,519.0,,26.0,-12.0,14.0,Increase,Decrease,Increase
CK302,Law and French,545.0,,542.0,,531.0,,3.0,11.0,14.0,Increase,Increase,Increase
CK304,Law and Irish,588.0,,540.0,,510.0,,48.0,30.0,78.0,Increase,Increase,Increase
CK307,Law and Business,589.0,Randomly Selected,556.0,,554.0,,33.0,2.0,35.0,Increase,Increase,Increase
CK401,Computer Science,503.0,,468.0,,456.0,,35.0,12.0,47.0,Increase,Increase,Increase
CK402,Biological and Chemical Sciences,555.0,Randomly Selected,510.0,,520.0,,45.0,-10.0,35.0,Increase,Decrease,Increase
CK404,Biological  Earth and Environmental Sciences,500.0,,467.0,,451.0,,33.0,16.0,49.0,Increase,Increase,Increase
CK405,Genetics,543.0,,487.0,,496.0,,56.0,-9.0,47.0,Increase,Decrease,Increase
CK406,Chemical Sciences,532.0,,485.0,,488.0,,47.0,-3.0,44.0,Increase,Decrease,Increase
CK407,Mathematical Sciences,566.0,,566.0,,578.0,,0.0,-12.0,-12.0,No Change,Decrease,Decrease
CK408,Physics and Astrophysics,566.0,,554.0,,566.0,,12.0,-12.0,0.0,Increase,Decrease,No Change
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,,432.0,,532.0,,33.0,-100.0,-67.0,Increase,Decrease,Decrease
CK411,Data Science and Analytics,531.0,,510.0,,542.0,,21.0,-32.0,-11.0,Increase,Decrease,Decrease
CK412,Agricultural Science,506.0,,496.0,,509.0,,10.0,-13.0,-3.0,Increase,Decrease,Decrease
CK502,Food Marketing and Entrepreneurship,,,,,456.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CK504,Nutritional Sciences,555.0,,518.0,,509.0,,37.0,9.0,46.0,Increase,Increase,Increase
CK505,Food Science,463.0,,441.0,,477.0,,22.0,-36.0,-14.0,Increase,Decrease,Decrease
CK506,International Development and Food Policy,,,,,410.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CK600,Engineering,510.0,,487.0,,532.0,,23.0,-45.0,-22.0,Increase,Decrease,Decrease
CK606,Architecture - Offered jointly by UCC and CIT,543.0,,484.0,,496.0,,59.0,-12.0,47.0,Increase,Decrease,Increase
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,Test/Portfolio,731.0,,740.0,Test/Portfolio,7.0,-9.0,-2.0,Increase,Decrease,Decrease
CK702,Dentistry,625.0,Randomly Selected,613.0,,613.0,,12.0,0.0,12.0,Increase,No Change,Increase
CK703,Pharmacy,613.0,Randomly Selected,590.0,,589.0,,23.0,1.0,24.0,Increase,Increase,Increase
CK704,Occupational Therapy,601.0,Randomly Selected,566.0,,554.0,Randomly Selected,35.0,12.0,47.0,Increase,Increase,Increase
CK705,Speech and Language Therapy,568.0,,520.0,,529.0,,48.0,-9.0,39.0,Increase,Decrease,Increase
CK706,Public Health Sciences,500.0,,454.0,,451.0,,46.0,3.0,49.0,Increase,Increase,Increase
CK707,Medical and Health Sciences,578.0,Randomly Selected,542.0,,543.0,Randomly Selected,36.0,-1.0,35.0,Increase,Decrease,Increase
CK710,General Nursing,498.0,Randomly Selected,454.0,,466.0,,44.0,-12.0,32.0,Increase,Decrease,Increase
CK712,Children`s and General Nursing (Integrated),565.0,,533.0,,520.0,,32.0,13.0,45.0,Increase,Increase,Increase
CK720,Mental Health Nursing,455.0,,423.0,,429.0,,32.0,-6.0,26.0,Increase,Decrease,Increase
CK730,Intellectual Disability Nursing,431.0,,419.0,,388.0,,12.0,31.0,43.0,Increase,Increase,Increase
CK740,Midwifery,509.0,Randomly Selected,484.0,,474.0,,25.0,10.0,35.0,Increase,Increase,Increase
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,Randomly Selected,57.0,,59.0,Randomly Selected,3.0,-2.0,1.0,Increase,Decrease,Increase
CM001,Education - Primary Teaching,508.0,,484.0,,462.0,Randomly Selected,24.0,22.0,46.0,Increase,Increase,Increase
CM002,Education - Primary Teaching - Gaeltacht Applicant,462.0,Test/Portfolio,,,440.0,Test/Portfolio,,,22.0,Course Ran For One Year,Course Ran For One Year,Increase
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,Test/Portfolio,528.0,,506.0,Test/Portfolio,-15.0,22.0,7.0,Decrease,Increase,Increase
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,Test/Portfolio,494.0,,569.0,Test/Portfolio,-14.0,-75.0,-89.0,Decrease,Decrease,Decrease
CM010,Education Studies,382.0,,319.0,,373.0,,63.0,-54.0,9.0,Increase,Decrease,Increase
CM020,Early Childhood Education,317.0,,327.0,,363.0,,-10.0,-36.0,-46.0,Decrease,Decrease,Decrease
CR105,Chemical and Biopharmaceutical Engineering,443.0,,443.0,,498.0,,0.0,-55.0,-55.0,No Change,Decrease,Decrease
CR106,Software Development,431.0,,411.0,,393.0,,20.0,18.0,38.0,Increase,Increase,Increase
CR108,Mechanical Engineering,434.0,,434.0,,487.0,,0.0,-53.0,-53.0,No Change,Decrease,Decrease
CR109,Structural Engineering,396.0,,394.0,,467.0,,2.0,-73.0,-71.0,Increase,Decrease,Decrease
CR110,Automotive Business Management and Technology,336.0,,311.0,,347.0,,25.0,-36.0,-11.0,Increase,Decrease,Decrease
CR112,Creative Digital Media at CIT Crawford College of,390.0,,361.0,,389.0,,29.0,-28.0,1.0,Increase,Decrease,Increase
CR116,Computer Systems,365.0,,332.0,,381.0,,33.0,-49.0,-16.0,Increase,Decrease,Decrease
CR121,Music at CIT Cork School of Music,904.0,Test/Portfolio,868.0,,1052.0,Test/Portfolio,36.0,-184.0,-148.0,Increase,Decrease,Decrease
CR125,Popular Music at CIT Cork School of Music,1028.0,Test/Portfolio,1088.0,,1021.0,Test/Portfolio,-60.0,67.0,7.0,Decrease,Increase,Increase
CR126,Popular Music: Drums at CIT Cork School of Music,,,801.0,,1043.0,Test/Portfolio,,-242.0,,Course Ran For One Year,Decrease,Course Ran For One Year
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,,838.0,,761.0,Test/Portfolio,,77.0,,Course Ran For One Year,Increase,Course Ran For One Year
CR128,Popular Music: Keyboards at CIT Cork School of Music,,,840.0,,1009.0,Test/Portfolio,,-169.0,,Course Ran For One Year,Decrease,Course Ran For One Year
CR129,Popular Music: Voice at CIT Cork School of Music,,,841.0,,927.0,Test/Portfolio,,-86.0,,Course Ran For One Year,Decrease,Course Ran For One Year
CR130,Musical Theatre at CIT Cork School of Music,525.0,Test/Portfolio,548.0,,600.0,Test/Portfolio,-23.0,-52.0,-75.0,Decrease,Decrease,Decrease
CR150,Business Information Systems,350.0,,335.0,,371.0,,15.0,-36.0,-21.0,Increase,Decrease,Decrease
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450.0,Test/Portfolio,,Test/Portfolio,979.0,Test/Portfolio,,,-529.0,Course Ran For One Year,Course Ran For One Year,Decrease
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,Test/Portfolio,,Test/Portfolio,819.0,Test/Portfolio,,,-419.0,Course Ran For One Year,Course Ran For One Year,Decrease
CR225,Photography with New Media at CIT Crawford College,435.0,Test/Portfolio,,Test/Portfolio,920.0,Test/Portfolio,,,-485.0,Course Ran For One Year,Course Ran For One Year,Decrease
CR305,Physical Sciences (Common Entry),260.0,,282.0,,309.0,,-22.0,-27.0,-49.0,Decrease,Decrease,Decrease
CR310,IT Management,347.0,,297.0,,317.0,,50.0,-20.0,30.0,Increase,Decrease,Increase
CR320,Biomedical Science - Offered jointly by CIT and UC,590.0,Randomly Selected,565.0,,556.0,,25.0,9.0,34.0,Increase,Increase,Increase
CR325,Pharmaceutical Biotechnology,466.0,,398.0,,422.0,,68.0,-24.0,44.0,Increase,Decrease,Increase
CR333,Nutrition and Health Science,425.0,,402.0,,393.0,,23.0,9.0,32.0,Increase,Increase,Increase
CR335,Biological Sciences (Common Entry),473.0,,420.0,,419.0,,53.0,1.0,54.0,Increase,Increase,Increase
CR340,Analytical Chemistry with Quality Assurance,327.0,,251.0,,315.0,,76.0,-64.0,12.0,Increase,Decrease,Increase
CR360,Instrument Engineering,301.0,,261.0,,329.0,,40.0,-68.0,-28.0,Increase,Decrease,Decrease
CR365,Environmental Science and Sustainable Technology,262.0,,253.0,,362.0,,9.0,-109.0,-100.0,Increase,Decrease,Decrease
CR370,Agri-Biosciences,368.0,,397.0,,431.0,,-29.0,-34.0,-63.0,Decrease,Decrease,Decrease
CR400,Accounting,315.0,,316.0,,389.0,,-1.0,-73.0,-74.0,Decrease,Decrease,Decrease
CR420,Marketing,290.0,,285.0,,329.0,,5.0,-44.0,-39.0,Increase,Decrease,Decrease
CR425,International Business with Language,279.0,,298.0,,392.0,,-19.0,-94.0,-113.0,Decrease,Decrease,Decrease
CR430,Sport and Exercise Management,402.0,,322.0,,,,80.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CR435,Coaching Science and Sports Pedagogy,410.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CR440,Montessori Education,409.0,,288.0,,,,121.0,,,Increase,Course Ran For One Year,Course Ran For One Year
CR500,Engineering (Common Entry),475.0,,411.0,,424.0,,64.0,-13.0,51.0,Increase,Decrease,Increase
CR510,Sustainable Energy Engineering,320.0,,320.0,,343.0,,0.0,-23.0,-23.0,No Change,Decrease,Decrease
CR520,Biomedical Engineering,444.0,,444.0,,477.0,,0.0,-33.0,-33.0,No Change,Decrease,Decrease
CR560,Architectural Technology,375.0,,308.0,,332.0,,67.0,-24.0,43.0,Increase,Decrease,Increase
CR565,Interior Architecture,431.0,,359.0,,390.0,,72.0,-31.0,41.0,Increase,Decrease,Increase
CR570,Quantity Surveying,375.0,,336.0,,342.0,,39.0,-6.0,33.0,Increase,Decrease,Increase
CR572,Construction Management,300.0,,269.0,,300.0,,31.0,-31.0,0.0,Increase,Decrease,No Change
CR580,Electrical Engineering,342.0,,318.0,,374.0,,24.0,-56.0,-32.0,Increase,Decrease,Decrease
CR590,Electronic Engineering,329.0,,303.0,,411.0,,26.0,-108.0,-82.0,Increase,Decrease,Decrease
CR600,Visual Communications at CIT Crawford College of A,280.0,Test/Portfolio,,Test/Portfolio,888.0,Test/Portfolio,,,-608.0,Course Ran For One Year,Course Ran For One Year,Decrease
CR660,Tourism Management,246.0,,252.0,,290.0,,-6.0,-38.0,-44.0,Decrease,Decrease,Decrease
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609.0,Test/Portfolio,740.0,,906.0,Test/Portfolio,-131.0,-166.0,-297.0,Decrease,Decrease,Decrease
CR930,Home Economics and Business,518.0,Randomly Selected,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
CT125,Computing and IT,242.0,,220.0,,280.0,,22.0,-60.0,-38.0,Increase,Decrease,Decrease
CT325,Business,253.0,,338.0,,,,-85.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
CW018,Business (options),307.0,,298.0,,349.0,,9.0,-51.0,-42.0,Increase,Decrease,Decrease
CW028,Early Childhood Education and Care,260.0,,252.0,,308.0,,8.0,-56.0,-48.0,Increase,Decrease,Decrease
CW038,Art (portfolio),700.0,Test/Portfolio,700.0,,700.0,Test/Portfolio,0.0,0.0,0.0,No Change,No Change,No Change
CW058,Tourism and Event Management,292.0,,298.0,,262.0,,-6.0,36.0,30.0,Decrease,Increase,Increase
CW068,Applied Social Studies in Professional Social Care,250.0,,245.0,,280.0,,5.0,-35.0,-30.0,Increase,Decrease,Decrease
CW078,Sustainable Farm Management and Agribusiness,270.0,,269.0,,320.0,,1.0,-51.0,-50.0,Increase,Decrease,Decrease
CW088,Visual Communications and Design,270.0,,274.0,,345.0,,-4.0,-71.0,-75.0,Decrease,Decrease,Decrease
