code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info,points_r1_2021-2020,points_r1_2020-2019,points_r1_2021-2019,2021vs2020,2020vs2019,2021vs2019
DT321,Business and Law,,,,,478.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT341,Marketing,,,,,419.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT343,Retail and Services Management,,,,,332.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT354,Business Computing,,,,,341.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT358,Logistics and Supply Chain Management,,,,,359.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT365,Business and Management,,,,,456.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT366,Accounting and Finance,,,,,454.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT398,Human Resource Management,,,,,388.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT399,Economics and Finance,,,,,465.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT401,International Hospitality Management,,,,,337.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT405,Culinary Science,,,,,377.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT407,Culinary Arts,,,,,342.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT412,Tourism Marketing,,,,,322.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT413,Event Management,,,,,389.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT416,Culinary Entrepreneurship,,,,,339.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT420,Nutraceuticals in Health and Nutrition,,,,,432.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT421,Food Innovation,,,,,366.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT422,Pharmaceutical Healthcare,,,,,423.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT491,Environmental Health,,,,,380.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT501,Music,,,,,520.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT504,Film and Broadcasting,,,,,467.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT506,Commercial Modern Music,,,,,835.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT508,Game Design,,,,,454.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT517,Languages and English Studies,,,,,419.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT518,Languages and International Tourism,,,,,357.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT529,Drama (Performance),,,,,519.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT532,Law (LL.B.),,,,,441.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT533,Contemporary Visual Culture,,,,,,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT544,Interior Design,,,,,866.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT545,Design - Visual Communication,,,,,897.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT546,Fine Art,,,,,813.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT555,International Business and Languages,,,,,399.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT559,Photography,,,,,926.0,Test/Portfolio,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT571,Social Care,,,,,424.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT572,Early Childhood Education,,,,,403.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT582,Journalism,,,,,373.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT596,Print Media Technology and Management,,,,,311.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
DT597,Creative and Cultural Industries,,,,,369.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GA181,Accounting,303.0,,309.0,,378.0,,-6.0,-69.0,-75.0,Decrease,Decrease,Decrease
GA182,Business,285.0,,287.0,,347.0,,-2.0,-60.0,-62.0,Decrease,Decrease,Decrease
GA183,Business Information Systems,298.0,,296.0,,373.0,,2.0,-77.0,-75.0,Increase,Decrease,Decrease
GA184,Marketing and Sales,300.0,,307.0,,348.0,,-7.0,-41.0,-48.0,Decrease,Decrease,Decrease
GA185,Finance and Economics,318.0,,293.0,,398.0,,25.0,-105.0,-80.0,Increase,Decrease,Decrease
GA186,Business with Entrepreneurship,287.0,,280.0,,328.0,,7.0,-48.0,-41.0,Increase,Decrease,Decrease
GA187,Rural Enterprise and Agri-Business,291.0,,281.0,,367.0,,10.0,-86.0,-76.0,Increase,Decrease,Decrease
GA281,Film and Documentary,310.0,,304.0,,360.0,,6.0,-56.0,-50.0,Increase,Decrease,Decrease
GA282,Heritage Studies,252.0,,220.0,,308.0,,32.0,-88.0,-56.0,Increase,Decrease,Decrease
GA283,Contemporary Art (portfolio),790.0,Test/Portfolio,679.0,,340.0,,111.0,339.0,450.0,Increase,Increase,Increase
GA284,Design,331.0,,303.0,,377.0,,28.0,-74.0,-46.0,Increase,Decrease,Decrease
GA285,Education (Art  Design and Graphics),406.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GA380,International Hotel Management,218.0,,242.0,,289.0,,-24.0,-47.0,-71.0,Decrease,Decrease,Decrease
GA381,International Tourism Management,252.0,,278.0,,290.0,,-26.0,-12.0,-38.0,Decrease,Decrease,Decrease
GA382,Culinary and Gastronomic Science,235.0,,206.0,,316.0,,29.0,-110.0,-81.0,Increase,Decrease,Decrease
GA384,Event Management with Public Relations,230.0,,212.0,,289.0,,18.0,-77.0,-59.0,Increase,Decrease,Decrease
GA385,Retail Management,,,,,319.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GA480,Construction Management,302.0,,260.0,,312.0,,42.0,-52.0,-10.0,Increase,Decrease,Decrease
GA482,Quantity Surveying and Construction Economics,304.0,,288.0,,340.0,,16.0,-52.0,-36.0,Increase,Decrease,Decrease
GA483,Architectural Technology,281.0,,265.0,,321.0,,16.0,-56.0,-40.0,Increase,Decrease,Decrease
GA484,Civil Engineering,377.0,,290.0,,362.0,,87.0,-72.0,15.0,Increase,Decrease,Increase
GA580,Software and Electronic Engineering,300.0,,300.0,,351.0,,0.0,-51.0,-51.0,No Change,Decrease,Decrease
GA680,Mechanical Engineering,400.0,,330.0,,389.0,,70.0,-59.0,11.0,Increase,Decrease,Increase
GA681,Energy Engineering,312.0,,293.0,,328.0,,19.0,-35.0,-16.0,Increase,Decrease,Decrease
GA682,Biomedical Engineering,331.0,,313.0,,383.0,,18.0,-70.0,-52.0,Increase,Decrease,Decrease
GA683,Agricultural Engineering,304.0,,309.0,,365.0,,-5.0,-56.0,-61.0,Decrease,Decrease,Decrease
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413.0,,340.0,,406.0,,73.0,-66.0,7.0,Increase,Decrease,Increase
GA685,Manufacturing Engineering Design,336.0,,309.0,,,,27.0,,,Increase,Course Ran For One Year,Course Ran For One Year
GA780,Applied Freshwater and Marine Biology,366.0,,327.0,,360.0,,39.0,-33.0,6.0,Increase,Decrease,Increase
GA781,Applied Biology and Biopharmaceutical Science,381.0,,337.0,,376.0,,44.0,-39.0,5.0,Increase,Decrease,Increase
GA782,Chemical and Pharmaceutical Science,356.0,,336.0,,346.0,,20.0,-10.0,10.0,Increase,Decrease,Increase
GA783,Physics and Instrumentation,301.0,,363.0,,378.0,,-62.0,-15.0,-77.0,Decrease,Decrease,Decrease
GA784,Science (Undenominated),445.0,,372.0,,377.0,,73.0,-5.0,68.0,Increase,Decrease,Increase
GA785,Medical Science,517.0,,473.0,,486.0,,44.0,-13.0,31.0,Increase,Decrease,Increase
GA786,Forensic Science and Analysis,408.0,,317.0,,366.0,,91.0,-49.0,42.0,Increase,Decrease,Increase
GA787,Computing in Software Development,310.0,,270.0,,327.0,,40.0,-57.0,-17.0,Increase,Decrease,Decrease
GA788,Computing and Digital Media,270.0,,274.0,,327.0,,-4.0,-53.0,-57.0,Decrease,Decrease,Decrease
GA789,Agriculture and Environmental Management,340.0,,287.0,,339.0,,53.0,-52.0,1.0,Increase,Decrease,Increase
GA790,Sport and Exercise Science,376.0,,356.0,,379.0,,20.0,-23.0,-3.0,Increase,Decrease,Decrease
GA791,Public Health Nutrition,368.0,,368.0,,397.0,,0.0,-29.0,-29.0,No Change,Decrease,Decrease
GA880,General Nursing,440.0,Randomly Selected,429.0,,400.0,Randomly Selected,11.0,29.0,40.0,Increase,Increase,Increase
GA882,Psychiatric Nursing,369.0,,367.0,,370.0,,2.0,-3.0,-1.0,Increase,Decrease,Decrease
GA885,Outdoor Education,269.0,,252.0,,298.0,,17.0,-46.0,-29.0,Increase,Decrease,Decrease
GA887,History and Geography,201.0,,244.0,,296.0,,-43.0,-52.0,-95.0,Decrease,Decrease,Decrease
GA889,Applied Social Care,265.0,,266.0,,297.0,,-1.0,-31.0,-32.0,Decrease,Decrease,Decrease
GA890,Early Childhood Education and Care,281.0,,270.0,,319.0,,11.0,-49.0,-38.0,Increase,Decrease,Decrease
GA891,Geography and Outdoor Education,261.0,,244.0,,,,17.0,,,Increase,Course Ran For One Year,Course Ran For One Year
GA892,Community Development and Youth Work (Level 8),,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GA980,Education (Design Graphics and Construction),410.0,,377.0,,389.0,,33.0,-12.0,21.0,Increase,Decrease,Increase
GA981,Furniture Design and Manufacture,346.0,,,,350.0,,,,-4.0,Course Ran For One Year,Course Ran For One Year,Decrease
GA982,Furniture Making and Architectural Woodworking,360.0,,,,352.0,,,,8.0,Course Ran For One Year,Course Ran For One Year,Increase
GA983,Furniture and Digital Manufacturing,,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GA984,Furniture Design  Making and Technology - Common E,486.0,,284.0,,,,202.0,,,Increase,Course Ran For One Year,Course Ran For One Year
GC200,Business,269.0,,252.0,,359.0,,17.0,-107.0,-90.0,Increase,Decrease,Decrease
GC201,Accounting and Finance,260.0,,303.0,,388.0,,-43.0,-85.0,-128.0,Decrease,Decrease,Decrease
GC230,Computing Science,300.0,,335.0,,327.0,,-35.0,8.0,-27.0,Decrease,Increase,Decrease
GC250,Communications and Media Production,,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GC300,Business,264.0,,429.0,,302.0,,-165.0,127.0,-38.0,Decrease,Increase,Decrease
GC301,Accounting and Finance,,,253.0,,314.0,,,-61.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GC302,Business - HRM,377.0,,,,269.0,,,,108.0,Course Ran For One Year,Course Ran For One Year,Increase
GC305,International Hospitality Management,,,253.0,,327.0,,,-74.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GC307,Business (Marketing),289.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GC400,Business,250.0,,248.0,,297.0,,2.0,-49.0,-47.0,Increase,Decrease,Decrease
GC401,Accounting and Finance,242.0,,240.0,,309.0,,2.0,-69.0,-67.0,Increase,Decrease,Decrease
GC402,Business (HRM),,,264.0,,290.0,,,-26.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GC403,Law,245.0,,244.0,,308.0,,1.0,-64.0,-63.0,Increase,Decrease,Decrease
GC405,International Hospitality Management (Dublin),,,,,272.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GC407,Business (Marketing),264.0,,280.0,,330.0,,-16.0,-50.0,-66.0,Decrease,Decrease,Decrease
GC430,Computing Science,251.0,,252.0,,269.0,,-1.0,-17.0,-18.0,Decrease,Decrease,Decrease
GC450,Communications and Media Production,225.0,,254.0,,307.0,,-29.0,-53.0,-82.0,Decrease,Decrease,Decrease
GC462,Design Communication (portfolio),300.0,Test/Portfolio,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GC489,Interior Architecture (portfolio),288.0,Test/Portfolio,254.0,,361.0,Test/Portfolio,34.0,-107.0,-73.0,Increase,Decrease,Decrease
GC494,Fashion Design (portfolio),351.0,Test/Portfolio,337.0,,,Test/Portfolio,14.0,,,Increase,Course Ran For One Year,Course Ran For One Year
GY101,Arts (Joint-Honours),327.0,,300.0,,374.0,,27.0,-74.0,-47.0,Increase,Decrease,Decrease
GY104,BSc (Psychology),564.0,,523.0,,529.0,,41.0,-6.0,35.0,Increase,Decrease,Increase
GY105,Arts (History),357.0,,301.0,,358.0,,56.0,-57.0,-1.0,Increase,Decrease,Decrease
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,,409.0,,397.0,,,12.0,,Course Ran For One Year,Increase,Course Ran For One Year
GY109,Arts (Mathematics and Education),413.0,,403.0,,487.0,,10.0,-84.0,-74.0,Increase,Decrease,Decrease
GY110,Arts (Children and Youth Studies - options),387.0,,357.0,,409.0,,30.0,-52.0,-22.0,Increase,Decrease,Decrease
GY111,Arts (English and Creative Writing),421.0,,330.0,,472.0,,91.0,-142.0,-51.0,Increase,Decrease,Decrease
GY112,Arts with Film Studies,,,321.0,,370.0,,,-49.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GY113,Arts with Human Rights,413.0,,368.0,,409.0,,45.0,-41.0,4.0,Increase,Decrease,Increase
GY115,Arts with Performing Arts Studies,300.0,,387.0,,367.0,,-87.0,20.0,-67.0,Decrease,Increase,Decrease
GY118,Arts (Drama  Theatre and Performance Studies),453.0,,451.0,,451.0,,2.0,0.0,2.0,Increase,No Change,Increase
GY119,Arts (Journalism),484.0,,400.0,,475.0,,84.0,-75.0,9.0,Increase,Decrease,Increase
GY120,"Arts (Child, Youth and Family: Policy and Practice)",,,350.0,,346.0,,,4.0,,Course Ran For One Year,Increase,Course Ran For One Year
GY121,Arts (Children`s Studies),,,356.0,,389.0,,,-33.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GY122,Na Dána (Cumarsáid agus Gaeilge),410.0,,361.0,,399.0,,49.0,-38.0,11.0,Increase,Decrease,Increase
GY123,Applied Social Sciences,419.0,,358.0,,388.0,,61.0,-30.0,31.0,Increase,Decrease,Increase
GY124,Arts (Arts with Data Science),,,454.0,,466.0,,,-12.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GY125,Arts (Digital Arts and Technology),403.0,,328.0,,379.0,,75.0,-51.0,24.0,Increase,Decrease,Increase
GY126,Arts (English and Media Studies),,,391.0,,451.0,,,-60.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GY127,Arts (Film and Digital Media),430.0,,401.0,,435.0,,29.0,-34.0,-5.0,Increase,Decrease,Decrease
GY128,Arts (Global Languages),346.0,,352.0,,440.0,,-6.0,-88.0,-94.0,Decrease,Decrease,Decrease
GY129,Arts (Global Experience),465.0,,420.0,,477.0,,45.0,-57.0,-12.0,Increase,Decrease,Decrease
GY130,Arts (Music),462.0,,408.0,,444.0,,54.0,-36.0,18.0,Increase,Decrease,Increase
GY131,Arts (History and Globalisation Studies),,,360.0,,431.0,,,-71.0,,Course Ran For One Year,Decrease,Course Ran For One Year
GY132,Government (Politics  Economics and Law),465.0,,407.0,,444.0,,58.0,-37.0,21.0,Increase,Decrease,Increase
GY133,Education (Computer Science and Mathematical Studi,454.0,,422.0,,466.0,,32.0,-44.0,-12.0,Increase,Decrease,Decrease
GY134,Geography and Geosystems,425.0,,410.0,,,,15.0,,,Increase,Course Ran For One Year,Course Ran For One Year
GY135,Arts (Global Media),442.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GY136,Na Dána (Léann Teanga - options),526.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GY201,Commerce,476.0,,433.0,,453.0,,43.0,-20.0,23.0,Increase,Decrease,Increase
GY202,Commerce (International) with French,520.0,,484.0,,513.0,,36.0,-29.0,7.0,Increase,Decrease,Increase
GY203,Commerce (International) with German,518.0,,489.0,,541.0,,29.0,-52.0,-23.0,Increase,Decrease,Decrease
GY204,Commerce (International) with Spanish,506.0,,495.0,,500.0,,11.0,-5.0,6.0,Increase,Decrease,Increase
GY206,Business Information Systems (Work Placement and O,509.0,,465.0,,445.0,,44.0,20.0,64.0,Increase,Increase,Increase
GY207,Commerce (Accounting) including optional Global Ex,543.0,,509.0,,510.0,,34.0,-1.0,33.0,Increase,Decrease,Increase
GY208,Commerce (Gaeilge),508.0,,473.0,,488.0,,35.0,-15.0,20.0,Increase,Decrease,Increase
GY209,Commerce (Global Experience),551.0,,530.0,,531.0,,21.0,-1.0,20.0,Increase,Decrease,Increase
GY250,Law and Business,510.0,,487.0,,467.0,,23.0,20.0,43.0,Increase,Increase,Increase
GY251,Law (BCL),542.0,,499.0,,498.0,,43.0,1.0,44.0,Increase,Increase,Increase
GY252,Law (BCL) and Human Rights,565.0,,520.0,,521.0,,45.0,-1.0,44.0,Increase,Decrease,Increase
GY253,Law and Taxation,506.0,,509.0,,,,-3.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
GY254,Law (BCL)  Criminology and Criminal Justice,548.0,,530.0,,,,18.0,,,Increase,Course Ran For One Year,Course Ran For One Year
GY261,Business Studies in International Hotel Management,503.0,Test/Portfolio,497.0,,615.0,Test/Portfolio,6.0,-118.0,-112.0,Increase,Decrease,Decrease
GY262,Commerce in International Hotel Management (interv,709.0,Test/Portfolio,681.0,,726.0,Test/Portfolio,28.0,-45.0,-17.0,Increase,Decrease,Decrease
GY301,Science,489.0,,433.0,,456.0,,56.0,-23.0,33.0,Increase,Decrease,Increase
GY303,Biomedical Science,613.0,,556.0,,566.0,,57.0,-10.0,47.0,Increase,Decrease,Increase
GY304,Biotechnology,498.0,,465.0,,507.0,,33.0,-42.0,-9.0,Increase,Decrease,Decrease
GY308,Environmental Science,431.0,,408.0,,440.0,,23.0,-32.0,-9.0,Increase,Decrease,Decrease
GY309,Financial Mathematics and Economics,509.0,,487.0,,498.0,,22.0,-11.0,11.0,Increase,Decrease,Increase
GY310,Marine Science,467.0,,419.0,,456.0,,48.0,-37.0,11.0,Increase,Decrease,Increase
GY313,Environmental Health and Safety,412.0,,412.0,,435.0,,0.0,-23.0,-23.0,No Change,Decrease,Decrease
GY314,Earth and Ocean Sciences,422.0,,403.0,,425.0,,19.0,-22.0,-3.0,Increase,Decrease,Decrease
GY318,Biopharmaceutical Chemistry,555.0,,509.0,,532.0,,46.0,-23.0,23.0,Increase,Decrease,Increase
GY319,Mathematical Science,543.0,,476.0,,531.0,,67.0,-55.0,12.0,Increase,Decrease,Increase
GY320,Physics (Degree options: Applied Astrophysics Biom,465.0,,402.0,,487.0,,63.0,-85.0,-22.0,Increase,Decrease,Decrease
GY321,Genetics and Genomics,532.0,,508.0,,,,24.0,,,Increase,Course Ran For One Year,Course Ran For One Year
GY322,Agricultural Sciences,485.0,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
GY350,Computer Science and Information Technology,495.0,,403.0,,466.0,,92.0,-63.0,29.0,Increase,Decrease,Increase
GY401,Engineering (Undenominated),522.0,,465.0,,499.0,,57.0,-34.0,23.0,Increase,Decrease,Increase
GY402,Civil Engineering,533.0,,455.0,,543.0,,78.0,-88.0,-10.0,Increase,Decrease,Decrease
GY405,Mechanical Engineering,541.0,,454.0,,499.0,,87.0,-45.0,42.0,Increase,Decrease,Increase
GY406,Electronic and Computer Engineering,555.0,,510.0,,547.0,,45.0,-37.0,8.0,Increase,Decrease,Increase
GY408,Biomedical Engineering,554.0,,509.0,,543.0,,45.0,-34.0,11.0,Increase,Decrease,Increase
GY410,Project and Construction Management,431.0,,403.0,,464.0,,28.0,-61.0,-33.0,Increase,Decrease,Decrease
GY413,Energy Systems Engineering,509.0,,502.0,,589.0,,7.0,-87.0,-80.0,Increase,Decrease,Decrease
GY414,Electrical and Electronic Engineering,433.0,,405.0,,487.0,,28.0,-82.0,-54.0,Increase,Decrease,Decrease
GY501,Medicine (five year/six year course  HPAT required,737.0,Randomly Selected,728.0,,731.0,Randomly Selected,9.0,-3.0,6.0,Increase,Decrease,Increase
GY502,Occupational Therapy,601.0,,555.0,,543.0,,46.0,12.0,58.0,Increase,Increase,Increase
GY503,Speech and Language Therapy,578.0,,543.0,,543.0,,35.0,0.0,35.0,Increase,No Change,Increase
GY504,Podiatric Medicine,531.0,,443.0,,463.0,,88.0,-20.0,68.0,Increase,Decrease,Increase
GY515,General Nursing (Galway and Portiuncula),502.0,,476.0,,466.0,,26.0,10.0,36.0,Increase,Increase,Increase
GY516,Mental Health Nursing,475.0,,440.0,,413.0,,35.0,27.0,62.0,Increase,Increase,Increase
GY517,Midwifery,520.0,,495.0,,468.0,,25.0,27.0,52.0,Increase,Increase,Increase
ID001,Accounting and Finance,,,203.0,,291.0,,,-88.0,,Course Ran For One Year,Decrease,Course Ran For One Year
ID002,Business Studies,,,294.0,,366.0,,,-72.0,,Course Ran For One Year,Decrease,Course Ran For One Year
ID003,Business Studies with Chinese,,,,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LC110,Art and Design (Common Entry  portfolio),794.0,Test/Portfolio,740.0,,918.0,Test/Portfolio,54.0,-178.0,-124.0,Increase,Decrease,Decrease
LC114,Fashion and Textiles for Product and Costume (port,914.0,Test/Portfolio,880.0,,988.0,Test/Portfolio,34.0,-108.0,-74.0,Increase,Decrease,Decrease
LC115,Art and Design Teacher Education (LIT and UL  port,993.0,Test/Portfolio,942.0,,,,51.0,,,Increase,Course Ran For One Year,Course Ran For One Year
LC220,Digital Marketing,263.0,,262.0,,288.0,,1.0,-26.0,-25.0,Increase,Decrease,Decrease
LC223,Law and Taxation,331.0,,307.0,,372.0,,24.0,-65.0,-41.0,Increase,Decrease,Decrease
LC224,Accounting and Finance,300.0,,300.0,,382.0,,0.0,-82.0,-82.0,No Change,Decrease,Decrease
LC225,Marketing and Management,298.0,,298.0,,337.0,,0.0,-39.0,-39.0,No Change,Decrease,Decrease
LC226,Enterprise and Innovation,255.0,,234.0,,298.0,,21.0,-64.0,-43.0,Increase,Decrease,Decrease
LC233,Software Development,280.0,,272.0,,371.0,,8.0,-99.0,-91.0,Increase,Decrease,Decrease
LC234,Immersive Digital Media and Spatial Computing,226.0,,225.0,,288.0,,1.0,-63.0,-62.0,Increase,Decrease,Decrease
LC236,Internet Systems Development,260.0,,262.0,,319.0,,-2.0,-57.0,-59.0,Decrease,Decrease,Decrease
LC239,Computer Networks and Systems Management,317.0,,307.0,,347.0,,10.0,-40.0,-30.0,Increase,Decrease,Decrease
LC241,Construction Management,326.0,,255.0,,303.0,,71.0,-48.0,23.0,Increase,Decrease,Increase
LC242,Property Valuation and Management,308.0,,282.0,,328.0,,26.0,-46.0,-20.0,Increase,Decrease,Decrease
LC243,Quantity Surveying,278.0,,294.0,,360.0,,-16.0,-66.0,-82.0,Decrease,Decrease,Decrease
LC248,Built Environment (Common Entry),300.0,,288.0,,350.0,,12.0,-62.0,-50.0,Increase,Decrease,Decrease
LC252,Civil Engineering Management,264.0,,270.0,,331.0,,-6.0,-61.0,-67.0,Decrease,Decrease,Decrease
LC263,Medical Technology,391.0,,294.0,,359.0,,97.0,-65.0,32.0,Increase,Decrease,Increase
LC265,Forensic and Pharmaceutical Sciences,498.0,,413.0,,368.0,,85.0,45.0,130.0,Increase,Increase,Increase
LC266,Drug and Medicinal Product Analysis,252.0,,262.0,,299.0,,-10.0,-37.0,-47.0,Decrease,Decrease,Decrease
LC275,Electrical Engineering,361.0,,298.0,,340.0,,63.0,-42.0,21.0,Increase,Decrease,Increase
LC288,Mechanical Engineering,378.0,,347.0,,360.0,,31.0,-13.0,18.0,Increase,Decrease,Increase
LC289,Precision Engineering,261.0,,291.0,,369.0,,-30.0,-78.0,-108.0,Decrease,Decrease,Decrease
LC292,Social Care Work,374.0,,367.0,,389.0,,7.0,-22.0,-15.0,Increase,Decrease,Decrease
LC293,Business Studies with Travel and Tourism Managemen,271.0,,307.0,,326.0,,-36.0,-19.0,-55.0,Decrease,Decrease,Decrease
LC294,Business Studies with Event Management,279.0,,279.0,,300.0,,0.0,-21.0,-21.0,No Change,Decrease,Decrease
LC295,Business Studies with Sports Management,262.0,,252.0,,298.0,,10.0,-46.0,-36.0,Increase,Decrease,Decrease
LC297,Community and Addiction Studies,272.0,,235.0,,269.0,,37.0,-34.0,3.0,Increase,Decrease,Increase
LC320,Business,381.0,,346.0,,378.0,,35.0,-32.0,3.0,Increase,Decrease,Increase
LC330,Business with Computing,328.0,,297.0,,326.0,,31.0,-29.0,2.0,Increase,Decrease,Increase
LC340,Interior Design,391.0,,350.0,,349.0,,41.0,1.0,42.0,Increase,Increase,Increase
LC362,Biotechnology and Biopharmaceutical Sciences,429.0,,413.0,,402.0,,16.0,11.0,27.0,Increase,Increase,Increase
LC371,Creative Broadcast and Film Production,325.0,,309.0,,339.0,,16.0,-30.0,-14.0,Increase,Decrease,Decrease
LC372,Music Technology and Production,377.0,,325.0,,369.0,,52.0,-44.0,8.0,Increase,Decrease,Increase
LC374,Renewable and Electrical Energy Engineering,337.0,,318.0,,368.0,,19.0,-50.0,-31.0,Increase,Decrease,Decrease
LC375,Industrial Automation and Robotic Systems,309.0,,317.0,,368.0,,-8.0,-51.0,-59.0,Decrease,Decrease,Decrease
LC376,Electronic Engineering with Computer Systems,357.0,,318.0,,346.0,,39.0,-28.0,11.0,Increase,Decrease,Increase
LC380,Automotive Engineering and Transport Management,298.0,,303.0,,329.0,,-5.0,-26.0,-31.0,Decrease,Decrease,Decrease
LC392,Business Studies in Beauty and Spa Management,328.0,,236.0,,318.0,,92.0,-82.0,10.0,Increase,Decrease,Increase
LC393,Early Childhood Education and Care,309.0,,236.0,,309.0,,73.0,-73.0,0.0,Increase,Decrease,No Change
LC401,Early Childhood Education and Care,,,297.0,,387.0,,,-90.0,,Course Ran For One Year,Decrease,Course Ran For One Year
LC402,Social Care Work,228.0,,225.0,,290.0,,3.0,-65.0,-62.0,Increase,Decrease,Decrease
LC408,Environmental Science and Climate,279.0,,279.0,,346.0,,0.0,-67.0,-67.0,No Change,Decrease,Decrease
LC411,Marketing and Management (Thurles),,,,,300.0,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LC414,Data Analytics and Cyber Security,,,236.0,,,,,,,Course Ran For One Year,Course Ran For One Year,Course Ran For One Year
LC416,Business,260.0,,274.0,,,,-14.0,,,Decrease,Course Ran For One Year,Course Ran For One Year
LC418,Computing - Games Design and Development,260.0,,270.0,,318.0,,-10.0,-48.0,-58.0,Decrease,Decrease,Decrease
LC422,Applied Strength and Conditioning,289.0,,298.0,,333.0,,-9.0,-35.0,-44.0,Decrease,Decrease,Decrease
LC434,Environmental Science and Agriculture,,,297.0,,347.0,,,-50.0,,Course Ran For One Year,Decrease,Course Ran For One Year
LC502,Game Art and Design (portfolio),841.0,Test/Portfolio,852.0,,950.0,Test/Portfolio,-11.0,-98.0,-109.0,Decrease,Decrease,Decrease
LC517,Creative Media and Design,279.0,,234.0,,273.0,,45.0,-39.0,6.0,Increase,Decrease,Increase
LC518,Digital Animation Production (portfolio),807.0,Test/Portfolio,808.0,,962.0,Test/Portfolio,-1.0,-154.0,-155.0,Decrease,Decrease,Decrease
