code,title,points_r2_2021,points_r2_2021_info,points_r2_2020,points_r2_2020_info,points_r2_2019,points_r2_2019_info
DC295,Arts (Joint Honours) - Politics,,,,,387.0,
DK810,Accounting and Finance,307.0,,305.0,,391.0,
DK816,Business Studies,301.0,,300.0,,357.0,
DK820,Computing in Games Development,309.0,,311.0,,369.0,
DK821,Computing in Software Development,316.0,,302.0,,347.0,
DK822,Augmented and Virtual Reality,320.0,,,,,
DK830,Building Surveying,,,,,349.0,
DK831,Architectural Technology,314.0,,,,366.0,
DK832,Construction Management,305.0,,,,329.0,
DK843,Engineering (Common Entry),391.0,,340.0,,402.0,
DK844,Mechanical Engineering,336.0,,305.0,,,
DK845,Electrical and Electronic Engineering,331.0,,304.0,,,
DK846,Civil Engineering,371.0,,361.0,,,
DK850,International Tourism Management,303.0,,317.0,,,
DK860,Music (audition),,,532.0,,649.0,Test/Portfolio
DK861,Arts,302.0,,302.0,,358.0,
DK862,Social Care,319.0,,,,338.0,
DK863,Creative Media,320.0,,308.0,,376.0,
DK864,Film and Television Production,,,300.0,,332.0,
DK865,Audio and Music Production,,,,,346.0,
DK870,General Nursing,440.0,Randomly Selected,401.0,,401.0,
DK872,Intellectual Disability Nursing,366.0,,,,317.0,
DK874,Mental Health Nursing,,,,,378.0,
DK876,Early Childhood Studies,,,,,359.0,
DK877,Midwifery,477.0,,,,441.0,Randomly Selected
DK880,Health and Physical Activity,,,,,367.0,
DK882,Agriculture (Award options),,,,,358.0,
DK883,Science (Award options),368.0,,321.0,,369.0,
DK884,Sustainable Agriculture,,,,,,
DK885,Agri-Food Production,,,,,,
DK886,Biopharmaceutical Science,,,,,,
DK887,Environmental Science,,,,,,
DL821,"English, Media and Cultural Studies",,,212.0,,317.0,
DL822,Arts Management,,,229.0,,319.0,
DL823,Business Management,,,,,316.0,
DL825,Applied Psychology,413.0,,,,413.0,
DL826,Graphic Design,,Test/Portfolio,,,989.0,Test/Portfolio
DL827,Art,,Test/Portfolio,,,902.0,Test/Portfolio
DL828,"3D Design, Modelmaking and Digital Art",,,,,866.0,Test/Portfolio
DL829,Design for Stage and Screen (Costume Design),,,,,1021.0,Test/Portfolio
DL830,Design for Stage and Screen (Character Makeup Design),,,,,953.0,Test/Portfolio
DL831,Design for Stage and Screen (Production Design),,,,,1073.0,Test/Portfolio
DL832,Animation,,Test/Portfolio,,,1055.0,Test/Portfolio
DL833,Photography and Visual Media,671.0,Test/Portfolio,,,791.0,Test/Portfolio
DL834,Film and Television Production,,,,,1011.0,Test/Portfolio
DL835,Creative Media Technologies,,,,,289.0,
DL836,Creative Computing,,,,,326.0,
DL837,New Media Studies,293.0,,,,349.0,
DL838,Creative Music Production,,Test/Portfolio,,,873.0,Test/Portfolio
DL839,Interaction and User Experience Design,,Test/Portfolio,683.0,,,
DL840,Digital Marketing,,,228.0,,,
DL841,English and Equality Studies,277.0,,,,,
DL843,Film,874.0,Test/Portfolio,,,,
DL844,Television,,Test/Portfolio,,,,
DL845,Design for Film (degree options),,Test/Portfolio,,,,
DN100,Architecture,,,,,509.0,
DN120,Landscape Architecture,435.0,,,,403.0,
DN130,City Planning and Environmental Policy,424.0,,400.0,,421.0,
DN150,Engineering (Common Entry),,Randomly Selected,521.0,,554.0,
DN200,Science (options),567.0,,,,554.0,
DN201,Computer Science (Common Entry),549.0,,,,509.0,
DN230,Actuarial and Financial Studies,613.0,Randomly Selected,,,589.0,
DN240,Sustainability,,,,,,
DN250,Agricultural Science (options),444.0,,455.0,,462.0,
DN252,Dairy Business,,,,,428.0,
DN253,Agri - Environmental Sciences,,,,,419.0,
DN261,Food Science,,,,,467.0,
DN262,Human Nutrition,,,,,510.0,
DN271,Forestry,,,,,361.0,
DN272,"Horticulture, Landscape and Sportsturf Management",,,282.0,,312.0,
DN300,Veterinary Medicine - Undergraduate Entry,,Randomly Selected,,,589.0,Test/Portfolio
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,,,Test/Portfolio
DN310,Veterinary Nursing,509.0,,477.0,,487.0,
DN400,Medicine - Undergraduate Entry (HPAT required),,Randomly Selected,736.0,,745.0,Test/Portfolio
DN401,Medicine - Graduate Entry (GAMSAT required),,Randomly Selected,,,61.0,Randomly Selected
DN410,Radiography,566.0,Randomly Selected,532.0,,522.0,
DN411,Radiography - Graduate Entry,,Test/Portfolio,,,,Test/Portfolio
DN420,Physiotherapy,601.0,Randomly Selected,577.0,,555.0,
DN425,Health and Performance Science,543.0,,509.0,,509.0,
DN430,Sport and Exercise Management,476.0,,445.0,,455.0,
DN440,Biomedical  Health and Life Sciences,613.0,Randomly Selected,589.0,,579.0,Randomly Selected
DN450,General Nursing,,Randomly Selected,424.0,,420.0,
DN451,Children`s and General Nursing (Integrated),,,506.0,,499.0,Randomly Selected
DN452,Midwifery,509.0,,476.0,,452.0,
DN453,Mental Health Nursing,,,393.0,,403.0,
DN520,Joint Honours (options),378.0,,,,408.0,
DN530,Humanities (options),388.0,,336.0,,411.0,
DN541,Modern Languages (options),,,,,412.0,
DN600,Law (options),567.0,,544.0,,532.0,Randomly Selected
DN610,Business and Law,567.0,,,,543.0,
DN650,Commerce,,,521.0,,510.0,Randomly Selected
DN660,Commerce International (options),554.0,,511.0,,531.0,
DN670,Economics and Finance,625.0,Randomly Selected,,,601.0,
DN700,Social Sciences (options),474.0,,419.0,,441.0,
DN710,Economics,532.0,,498.0,,488.0,
DN720,Psychology,564.0,,522.0,,531.0,
DN750,Social Policy and Sociology,,,,,366.0,
DT001,Product Design,,,,,464.0,
DT028,Transport Operations and Technology,,,,,348.0,
DT035,Electrical Services and Energy Management,,,,,340.0,
DT066,Engineering (General Entry),,,,,457.0,
DT101,Architecture (test and interview),,,,,647.0,Test/Portfolio
DT106,Planning and Environmental Management,,,,,337.0,
DT110,Property Economics (Valuation Surveying),,,,,424.0,
DT111,Quantity Surveying and Construction Economics,,,,,421.0,
DT112,Geographic Science,,,,,335.0,
DT117,Construction Management,,,,,373.0,
DT175,Architectural Technology,,,,,425.0,
DT201,Science (General Entry),,,,,477.0,
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,,,403.0,
DT204,Biomedical Science,,,,,512.0,
DT205,Mathematical Sciences,,,,,363.0,
DT206,Biomedical and Molecular Diagnostics,,,,,487.0,
DT211,Computer Science (Infrastructure),,,,,414.0,
DT220,Industrial Mathematics,,,,,317.0,
DT221,Physics with Energy and Environment,,,,,436.0,
DT222,Physics Technology,,,,,371.0,
DT223,Human Nutrition and Dietetics,,,,,566.0,
DT224,Optometry,,,,,529.0,
DT225,Public Health Nutrition,,,,,476.0,
DT227,Science with Nanotechnology,,,,,361.0,
DT228,Computer Science,,,,,466.0,
DT229,Clinical Measurement Science,,,,,509.0,
DT235,Physics with Medical Physics and Bioengineering,,,,,403.0,
DT282,Computer Science (International),,,,,402.0,
DT299,Chemical Sciences with Medicinal Chemistry,,,,,445.0,
DT302,Business Analytics,,,,,403.0,
DT304,E-Commerce in Retailing,,,,,388.0,
DT321,Business and Law,,,,,478.0,
DT341,Marketing,,,,,419.0,
DT343,Retail and Services Management,,,,,332.0,
DT354,Business Computing,,,,,341.0,
DT358,Logistics and Supply Chain Management,,,,,359.0,
DT365,Business and Management,,,,,456.0,
DT366,Accounting and Finance,,,,,454.0,
DT398,Human Resource Management,,,,,388.0,
DT399,Economics and Finance,,,,,465.0,
DT401,International Hospitality Management,,,,,337.0,
DT405,Culinary Science,,,,,377.0,
DT407,Culinary Arts,,,,,342.0,
DT412,Tourism Marketing,,,,,322.0,
DT413,Event Management,,,,,389.0,
DT416,Culinary Entrepreneurship,,,,,339.0,
DT420,Nutraceuticals in Health and Nutrition,,,,,432.0,
DT421,Food Innovation,,,,,366.0,
DT422,Pharmaceutical Healthcare,,,,,423.0,
DT491,Environmental Health,,,,,380.0,
DT501,Music,,,,,520.0,Test/Portfolio
DT504,Film and Broadcasting,,,,,467.0,
